# SandboxID device pool — multi-brand REAL-device identity source for `autopif.sh device`
#
# Each row is one genuine, shipping smartphone whose identity fields were taken
# from real firmware (build.prop dumps on dumps.tadiphone.dev / GitHub device
# trees, cross-checked against vendor spec sheets). No fictional models.
#
# `autopif.sh device` picks ONE row at random, layers a coherent synthetic
# lifecycle on top (boot count / uptime / "fresh" state derived from the
# device's release date), and writes a verbatim identity.prop-style artifact to
# $MODDIR/device.identity. Apply opt-in with:
#     cp device.identity identity.prop && sandboxid apply-boot
# This is SEPARATE from the default no-arg `fetch` path (Pixel canary), which is
# unchanged. Lines starting with # and blank lines are ignored by the reader.
#
# 15 TAB-separated columns (note: sdk comes BEFORE release):
#   1 brand            ro.product.brand              (real casing: Infinix, OPPO, vivo, samsung, Xiaomi, Redmi, POCO)
#   2 manufacturer     ro.product.manufacturer       (Redmi/POCO -> Xiaomi; Infinix -> INFINIX caps)
#   3 marketname       human-readable retail name
#   4 model            ro.product.model / Build.MODEL
#   5 device           ro.product.device / Build.DEVICE (codename)
#   6 product          ro.product.name               (fingerprint product segment)
#   7 board            ro.board.platform             (SoC-detect anchor; Exynos uses erdXXXX)
#   8 soc_manufacturer ro.soc.manufacturer
#   9 soc_model        ro.soc.model                  (Exynos s5eXXXX; Snapdragon SMXXXX; MediaTek MTXXXX)
#  10 sdk              ro.build.version.sdk          (int)
#  11 release          ro.build.version.release      (must map from sdk: 33->13 34->14 35->15)
#  12 build_id         ro.build.id                   (fingerprint build_id segment)
#  13 incremental      ro.build.version.incremental  (fingerprint incremental segment)
#  14 security_patch   ro.build.version.security_patch (YYYY-MM-DD)
#  15 release_date     model market-release month    (YYYY-MM; drives the lifecycle age)
#
# CAVEAT (vivo rows): public vivo firmware dumps are qssi/mssi ENGINEERING
# recompiles, so `incremental` is the genuine ro.build.version.incremental
# (eng.compil.*) — verifiable and internally consistent with the generated
# fingerprint, but engineering-channel rather than a retail OTA string. Every
# other vivo field (model/device/board/soc/sdk/release/build_id/patch) is real.
# All Oppo/Samsung/Xiaomi/Redmi/POCO/Infinix incrementals are retail.
Infinix	INFINIX	Infinix Note 30	Infinix X6833B	Infinix-X6833B	X6833B-GL	mt6789	MediaTek	MT6789	33	13	TP1A.220624.014	230817V2345	2023-08-05	2023-05
Infinix	INFINIX	Infinix GT 10 Pro	Infinix X6739	Infinix-X6739	X6739-GL	mt6893	MediaTek	MT6893	33	13	TP1A.220624.014	231024V2278	2023-10-05	2023-08
Infinix	INFINIX	Infinix Zero 30 5G	Infinix X6731	Infinix-X6731	X6731-GL	mt6893	MediaTek	MT6893	33	13	TP1A.220624.014	240829V442	2024-07-05	2023-09
Infinix	INFINIX	Infinix Hot 40 Pro	Infinix X6837	Infinix-X6837	X6837-GL	mt6789	MediaTek	MT6789	33	13	TP1A.220624.014	240929V1425	2024-08-05	2024-01
Xiaomi	Xiaomi	Xiaomi 14	23127PN0CG	houji	houji_global	pineapple	Qualcomm	SM8650	34	14	UKQ1.230804.001	V816.0.12.0.UNCMIXM	2024-07-01	2024-02
Xiaomi	Xiaomi	Xiaomi 13T	2306EPN60G	aristotle	aristotle_global	mt6895	MediaTek	MT6895	33	13	TP1A.220624.014	V14.0.10.0.TMFMIXM	2023-09-01	2023-09
Xiaomi	Xiaomi	Xiaomi 13	2211133G	fuxi	fuxi_global	kalama	Qualcomm	SM8550	33	13	TKQ1.220905.001	V14.0.7.0.TMCMIXM	2023-04-01	2023-02
Redmi	Xiaomi	Redmi Note 13 Pro 5G	2312DRA50G	garnet	garnet_global	parrot	Qualcomm	SM7435	33	13	TKQ1.221114.001	V14.0.6.0.TNRMIXM	2024-01-01	2024-01
Redmi	Xiaomi	Redmi Note 12 4G	23021RAAEG	tapas	tapas_global	bengal	Qualcomm	SM6225	33	13	TKQ1.221114.001	V14.0.14.0.TMTMIXM	2023-09-01	2023-03
Redmi	Xiaomi	Redmi 13C	23100RN82L	gale	gale_global	mt6768	MediaTek	MT6769Z	33	13	TP1A.220624.014	V14.0.6.0.TGPMIXM	2023-10-01	2023-11
POCO	Xiaomi	POCO X6 Pro 5G	2311DRK48G	duchamp	duchamp_global	mt6897	MediaTek	MT6897	34	14	UP1A.230905.011	V816.0.2.0.UNLMIXM	2023-12-01	2024-01
POCO	Xiaomi	POCO F5	23049PCD8G	marble	marble_global	taro	Qualcomm	SM7475	33	13	TKQ1.221114.001	V14.0.4.0.TMRMIXM	2023-04-01	2023-05
samsung	samsung	Galaxy S24 Ultra	SM-S928B	e3q	e3qxxx	pineapple	Qualcomm	SM8650	34	14	UP1A.231005.007	S928BXXU1AWM9	2024-01-01	2024-01
samsung	samsung	Galaxy S24	SM-S921B	e1q	e1qxxx	erd9945	Samsung	s5e9945	34	14	UP1A.231005.007	S921BXXS2AXED	2024-05-01	2024-01
samsung	samsung	Galaxy S23	SM-S911B	dm1q	dm1qxxx	kalama	Qualcomm	SM8550	33	13	TP1A.220624.014	S911BXXU1AWC8	2023-04-01	2023-02
samsung	samsung	Galaxy A55 5G	SM-A556B	a55x	a55xnaxx	erd8845	Samsung	s5e8845	34	14	UP1A.231005.007	A556BXXS2AXD3	2024-04-01	2024-03
samsung	samsung	Galaxy A15	SM-A155F	a15	a15nsxx	mt6789	MediaTek	MT6789	34	14	UP1A.231005.007	A155FXXU1AWKA	2023-11-01	2023-12
samsung	samsung	Galaxy Z Flip6	SM-F741B	b6q	b6qxxx	pineapple	Qualcomm	SM8650	34	14	UP1A.231005.007	F741BXXU1AXFD	2024-06-01	2024-07
vivo	vivo	vivo V29 5G	V2250	V2250	V2250_EEA	lahaina	Qualcomm	SM7325	33	13	TP1A.220624.014	eng.compil.20231214.171221	2023-12-01	2023-09
vivo	vivo	vivo X100	V2309	V2309	V2309	mt6989	MediaTek	MT6989	34	14	UP1A.231005.007	eng.compil.20240410.221153	2024-04-01	2023-11
vivo	vivo	vivo V27 Pro	V2230	V2230	V2230	mt6895	MediaTek	MT6895	34	14	UP1A.231005.007	eng.compil.20240507.115627	2024-05-01	2023-03
vivo	vivo	vivo X90	V2218	V2218	V2218	mt6985	MediaTek	MT6985	33	13	TP1A.220624.014	eng.compil.20221221.210046	2022-12-01	2023-02
OPPO	OPPO	OPPO A79 5G	CPH2557	OP573DL1	CPH2557	mt6833	MediaTek	MT6833	34	14	UP1A.230620.001	T.R4T2.1b4042b_1	2024-12-05	2023-11
OPPO	OPPO	OPPO A58	CPH2577	OP574FL1	CPH2577	mt6768	MediaTek	MT6768	34	14	UP1A.230620.001	T.R4T2.1537533_1a3e6	2023-12-05	2023-09
OPPO	OPPO	OPPO Reno10 Pro+ 5G	CPH2521	OP56D3L1	CPH2521	taro	Qualcomm	SM8475	35	15	AP3A.240617.008	T.R4T3.1c82702-2-1	2025-02-01	2023-08
OPPO	OPPO	OPPO Reno8 5G	CPH2359	OP5339L1	CPH2359	mt6893	MediaTek	MT6893	34	14	UKQ1.230924.001	S.179f3a1_501a	2024-04-05	2022-09
